INDIVIDUAL_ID,HOUSEHOLD_ID,FIRST_NAME,LAST_NAME,RFV Score,Age,Life Stage, Shoes-Sales Bf Promotion , Shoes-Sales Promotion , Shoes-Sales Af Promotion , Home-Sales Bf Promotion , Home-Sales Promotion , Home-Sales Af Promotion , Garden-Sales Bf Promotion , Garden-Sales Promotion , Garden-Sales Af Promotion , Shoes-PromotionOnlyFlag , Home-PromotionOnlyFlag , Garden-PromotionOnlyFlag 
5538079287,5551456922,Robert,Bohls,242,28,Young Singles, $ 396 , $ 446 , $ 109 , $ 171 , $ 668 , $ 415 , $ 416 , $ 346 , $ 429 ,0,1,0
5539471960,5553068615,Shirley,Johnson,255,43,Matures, $ 379 , $ 418 , $ 389 , $ 433 , $ 640 , $ 452 , $ 454 , $ 653 , $ 76 ,1,0,0
5529301455,5543000278,Marvin,Arotsky,515,36,Young Singles, $ 338 , $ 576 , $ 233 , $ 443 , $ 506 , $ 152 , $ 118 , $ 589 , $ 296 ,1,1,1
5539886821,5553449396,Karen,Chrisman,145,22,Empty Nesters, $ 298 , $ 385 , $ 272 , $ 134 , $ 505 , $ 311 , $ 136 , $ 408 , $ 455 ,0,0,1
5535588602,5549021658,Ronald,Teel,313,30,Empty Nesters, $ 137 , $ 425 , $ 350 , $ 82 , $ 492 , $ 332 , $ 478 , $ 360 , $ 350 ,0,1,1
5530294488,5543949429,Larry,Henagan,515,36,Young Singles, $ 396 , $ 463 , $ 319 , $ 175 , $ 524 , $ 160 , $ 122 , $ 377 , $ 165 ,0,1,0
5531201119,5544817050,Jody,Every,532,47,Matures, $ 352 , $ 628 , $ 345 , $ 466 , $ 505 , $ 325 , $ 383 , $ 455 , $ 455 ,0,0,1
5532136841,5545710035,Genna,Brown,235,48,Mom & Baby, $ 344 , $ 544 , $ 69 , $ 457 , $ 671 , $ 108 , $ 228 , $ 509 , $ 129 ,1,0,1
5539350961,5552695711,Phyllis,Yff,532,25,Young Couples, $ 236 , $ 429 , $ 128 , $ 244 , $ 483 , $ 187 , $ 142 , $ 540 , $ 442 ,1,1,0
5536227464,5549644651,Ken,Matthias,513,50,Young Singles, $ 319 , $ 338 , $ 470 , $ 485 , $ 527 , $ 379 , $ 319 , $ 682 , $ 210 ,1,1,0
5537513109,5550903684,Natividad,Gutierrez,154,29,Young Singles, $ 131 , $ 454 , $ 208 , $ 315 , $ 356 , $ 125 , $ 63 , $ 610 , $ 241 ,1,0,0
5538481740,5551847398,Jessica,Gutierrez-Rodriguez,131,37,Young Singles, $ 347 , $ 472 , $ 420 , $ 475 , $ 354 , $ 384 , $ 82 , $ 345 , $ 213 ,0,1,1
5534114495,5547600063,Camela,Sandmann,455,24,Mom & Baby, $ 135 , $ 576 , $ 405 , $ 406 , $ 479 , $ 221 , $ 436 , $ 692 , $ 467 ,0,0,1
5533030612,5546567539,Danielle,Breitbart,252,34,Mom & Baby, $ 293 , $ 465 , $ 477 , $ 272 , $ 694 , $ 493 , $ 499 , $ 382 , $ 411 ,1,1,1
5528789270,5542513474,Rhona,Reamer,352,40,Young Singles, $ 127 , $ 333 , $ 99 , $ 347 , $ 361 , $ 193 , $ 263 , $ 637 , $ 326 ,1,0,0
5532215380,5545783401,David,Wilcox,212,38,Young Couples, $ 188 , $ 681 , $ 340 , $ 62 , $ 488 , $ 83 , $ 65 , $ 480 , $ 70 ,0,1,0
5539547922,5553137604,Mary,Miller,213,43,Mom & Baby, $ 437 , $ 560 , $ 215 , $ 433 , $ 432 , $ 434 , $ 298 , $ 450 , $ 177 ,1,1,0
5533002485,5546541190,Christina,Thielst,433,35,Matures, $ 157 , $ 538 , $ 441 , $ 121 , $ 489 , $ 491 , $ 215 , $ 467 , $ 365 ,0,1,1
5532150576,5545722823,Douglas,Wagner,255,21,Mom & Baby, $ 421 , $ 468 , $ 186 , $ 302 , $ 592 , $ 319 , $ 416 , $ 596 , $ 229 ,0,1,1
5534940761,5548391674,Mary,Torra,355,23,Young Singles, $ 298 , $ 525 , $ 129 , $ 448 , $ 573 , $ 284 , $ 345 , $ 342 , $ 358 ,0,0,0
5528166645,5541920947,Sharon,Phibbs,124,24,Matures, $ 414 , $ 661 , $ 116 , $ 218 , $ 535 , $ 362 , $ 277 , $ 542 , $ 126 ,1,1,0
5527384895,5541178391,Ronald,Herring,223,44,Matures, $ 181 , $ 382 , $ 134 , $ 152 , $ 569 , $ 499 , $ 460 , $ 341 , $ 385 ,1,1,1
5532116762,5545691175,Amanda,Leu,244,28,Mom & Baby, $ 239 , $ 320 , $ 411 , $ 353 , $ 452 , $ 286 , $ 177 , $ 349 , $ 220 ,1,0,1
5533146184,5546676020,Donna,MacPhee,535,48,Young Singles, $ 114 , $ 394 , $ 180 , $ 426 , $ 693 , $ 334 , $ 335 , $ 589 , $ 206 ,1,1,1
5528108084,5541866104,Richard,Petrus,214,21,Young Couples, $ 478 , $ 517 , $ 489 , $ 244 , $ 433 , $ 338 , $ 421 , $ 688 , $ 83 ,1,1,1
5539093606,5552442729,Rebates,Teves,342,53,Empty Nesters, $ 175 , $ 445 , $ 394 , $ 308 , $ 471 , $ 75 , $ 310 , $ 562 , $ 383 ,1,1,0
5539558121,5553146879,Rebecca,Griffith,225,27,Young Couples, $ 339 , $ 642 , $ 284 , $ 181 , $ 559 , $ 221 , $ 455 , $ 412 , $ 177 ,0,1,1
5530970393,5544601093,Jane,Lundberg,244,28,Mom & Baby, $ 210 , $ 601 , $ 61 , $ 463 , $ 496 , $ 373 , $ 403 , $ 660 , $ 192 ,1,1,0
5539640434,5553221666,Judith,Cox,141,45,Young Singles, $ 212 , $ 312 , $ 130 , $ 326 , $ 598 , $ 62 , $ 84 , $ 444 , $ 101 ,0,0,1
5528365468,5542106956,Nancy,Swick,433,23,Young Singles, $ 388 , $ 392 , $ 457 , $ 58 , $ 629 , $ 398 , $ 271 , $ 559 , $ 173 ,1,1,0
5527631562,5541409374,Scott,Outwater,524,22,Young Singles, $ 418 , $ 619 , $ 493 , $ 408 , $ 605 , $ 102 , $ 51 , $ 443 , $ 283 ,0,1,1
5538577470,5551939465,Kimmarie,Gizelbach,554,40,Empty Nesters, $ 245 , $ 329 , $ 382 , $ 287 , $ 661 , $ 418 , $ 290 , $ 647 , $ 115 ,1,0,0
5530212758,5543872984,Larry,Zaporowski,442,51,Mom & Baby, $ 317 , $ 546 , $ 337 , $ 442 , $ 322 , $ 398 , $ 377 , $ 499 , $ 167 ,1,1,1
5539062836,5552412578,Claudine,Elhajal,311,29,Young Couples, $ 442 , $ 357 , $ 102 , $ 102 , $ 576 , $ 151 , $ 240 , $ 495 , $ 439 ,1,0,0
5526313926,5540143885,Hamid,Roostaee,524,50,Matures, $ 143 , $ 582 , $ 305 , $ 238 , $ 484 , $ 327 , $ 77 , $ 503 , $ 375 ,0,0,1
5538445107,5551811818,Tamara,Dube,253,42,Young Singles, $ 280 , $ 410 , $ 399 , $ 400 , $ 435 , $ 169 , $ 406 , $ 474 , $ 388 ,0,0,0
5536642011,5550052098,Austin,Bullock,234,51,Young Couples, $ 443 , $ 454 , $ 240 , $ 436 , $ 471 , $ 221 , $ 147 , $ 411 , $ 323 ,1,1,0
5538352213,5551720954,Todd,Mackanin,153,21,Empty Nesters, $ 422 , $ 575 , $ 130 , $ 85 , $ 588 , $ 56 , $ 146 , $ 595 , $ 493 ,1,1,0
5536323512,5549738547,Cathy,Newton,213,22,Young Couples, $ 159 , $ 364 , $ 176 , $ 482 , $ 584 , $ 418 , $ 277 , $ 457 , $ 183 ,0,0,1
5531164866,5552881964,Jessica,Fralin,134,27,Matures, $ 409 , $ 426 , $ 444 , $ 105 , $ 544 , $ 184 , $ 193 , $ 532 , $ 461 ,0,1,1
5533048009,5546583803,Denise,Granger,134,46,Young Singles, $ 327 , $ 320 , $ 252 , $ 413 , $ 401 , $ 122 , $ 304 , $ 605 , $ 436 ,1,0,0
5537454836,5550846811,Ann,Riggle,325,24,Young Couples, $ 484 , $ 353 , $ 269 , $ 429 , $ 608 , $ 406 , $ 319 , $ 469 , $ 394 ,1,0,1
5527676074,5541450918,Robert,McColl,545,33,Young Couples, $ 286 , $ 521 , $ 255 , $ 314 , $ 391 , $ 107 , $ 110 , $ 666 , $ 355 ,1,1,0
5532110197,5545685017,Gretchen,Gay,251,44,Young Couples, $ 286 , $ 368 , $ 235 , $ 103 , $ 503 , $ 252 , $ 467 , $ 405 , $ 86 ,1,1,1
5528122949,5541880056,Peter,Flores,534,38,Mom & Baby, $ 225 , $ 528 , $ 206 , $ 220 , $ 445 , $ 403 , $ 459 , $ 308 , $ 428 ,1,1,0
5533128330,5546659343,E,Curry,444,43,Mom & Baby, $ 454 , $ 551 , $ 475 , $ 192 , $ 621 , $ 146 , $ 400 , $ 422 , $ 254 ,1,1,0
5533095990,5546628946,Daniel,Maxwell,215,29,Young Couples, $ 275 , $ 424 , $ 153 , $ 234 , $ 347 , $ 436 , $ 63 , $ 587 , $ 76 ,1,1,0
5529296750,5542995870,Mary,Cardin,233,22,Mom & Baby, $ 283 , $ 460 , $ 114 , $ 53 , $ 325 , $ 101 , $ 226 , $ 597 , $ 359 ,1,0,1
5527663163,5541438874,Suzanne,Borzilleri,511,33,Mom & Baby, $ 467 , $ 332 , $ 262 , $ 229 , $ 536 , $ 145 , $ 331 , $ 641 , $ 414 ,1,1,1
5531167708,5544785690,James,Doin,534,49,Young Couples, $ 448 , $ 315 , $ 103 , $ 131 , $ 552 , $ 203 , $ 217 , $ 310 , $ 204 ,0,1,0
5539776961,5553345873,Paula,Snowden,425,20,Empty Nesters, $ 129 , $ 366 , $ 144 , $ 178 , $ 648 , $ 470 , $ 424 , $ 603 , $ 422 ,0,1,0
5528397254,5542136624,Donald,Wahl,443,42,Matures, $ 223 , $ 423 , $ 274 , $ 128 , $ 650 , $ 254 , $ 73 , $ 460 , $ 384 ,1,0,0
5534114421,5547599994,Roberta,Dangerfield,455,23,Empty Nesters, $ 53 , $ 393 , $ 310 , $ 459 , $ 380 , $ 375 , $ 422 , $ 557 , $ 371 ,1,1,1
5949412211,5949418432,Carla,Davidson,552,21,Young Singles, $ 459 , $ 458 , $ 219 , $ 396 , $ 567 , $ 406 , $ 219 , $ 393 , $ 401 ,1,1,0
5530258317,5543915628,Cindy,Pye,355,36,Young Singles, $ 468 , $ 486 , $ 209 , $ 184 , $ 596 , $ 400 , $ 443 , $ 544 , $ 347 ,1,1,0
5536140893,5549559966,Connie,Steffen,541,52,Young Singles, $ 311 , $ 486 , $ 263 , $ 245 , $ 436 , $ 354 , $ 371 , $ 322 , $ 170 ,0,0,0
5533154236,5546683560,Louis,Talley,455,22,Empty Nesters, $ 491 , $ 699 , $ 110 , $ 126 , $ 303 , $ 350 , $ 413 , $ 492 , $ 415 ,1,0,0
5941709517,5941733921,Susan,Lindsey,541,22,Young Couples, $ 429 , $ 367 , $ 250 , $ 164 , $ 632 , $ 476 , $ 144 , $ 694 , $ 106 ,0,1,1
5941708421,5548234823,Sean,Depew,552,41,Matures, $ 387 , $ 333 , $ 282 , $ 385 , $ 697 , $ 297 , $ 229 , $ 596 , $ 173 ,1,1,1
5529026898,5542743374,Maureen,Ivens,514,29,Empty Nesters, $ 251 , $ 567 , $ 64 , $ 124 , $ 507 , $ 270 , $ 189 , $ 616 , $ 357 ,1,1,1
5528252909,5542001535,Angela,Proscia,441,35,Mom & Baby, $ 69 , $ 403 , $ 242 , $ 117 , $ 314 , $ 497 , $ 353 , $ 700 , $ 181 ,0,0,1
5526693487,5540508096,Joan,Smith,315,28,Young Singles, $ 194 , $ 624 , $ 98 , $ 82 , $ 342 , $ 175 , $ 209 , $ 675 , $ 60 ,0,0,0
5531143794,5544763113,Jonathon,Gutzwiller,114,33,Young Singles, $ 412 , $ 622 , $ 178 , $ 278 , $ 659 , $ 389 , $ 407 , $ 398 , $ 115 ,0,1,0
5527681561,5541456036,Sherrlyn,Bostic,442,44,Young Singles, $ 269 , $ 369 , $ 203 , $ 61 , $ 481 , $ 320 , $ 59 , $ 672 , $ 158 ,1,1,0
5528359746,5542101638,Janet,Pauley,215,39,Empty Nesters, $ 154 , $ 475 , $ 425 , $ 219 , $ 659 , $ 344 , $ 268 , $ 451 , $ 458 ,1,1,1
5530021316,5543693515,Kerry,Knackstedt,115,43,Empty Nesters, $ 173 , $ 314 , $ 272 , $ 349 , $ 523 , $ 53 , $ 246 , $ 524 , $ 192 ,1,0,1
5534910827,5548363744,Mark,Papenhausen,135,27,Mom & Baby, $ 458 , $ 508 , $ 400 , $ 236 , $ 484 , $ 257 , $ 493 , $ 504 , $ 484 ,1,1,1
5538182578,5551556413,Patricia,Borgman,543,51,Matures, $ 118 , $ 378 , $ 104 , $ 189 , $ 623 , $ 293 , $ 74 , $ 475 , $ 67 ,1,1,0
5526177222,5540015782,William,Rusher,231,29,Empty Nesters, $ 446 , $ 488 , $ 169 , $ 452 , $ 453 , $ 350 , $ 77 , $ 465 , $ 166 ,0,0,1
5531000356,5544629019,Joseph,Peritore,454,55,Young Singles, $ 249 , $ 418 , $ 91 , $ 156 , $ 407 , $ 357 , $ 71 , $ 447 , $ 150 ,1,0,1
5539383886,5552988387,Tom,Bird,125,39,Empty Nesters, $ 343 , $ 334 , $ 260 , $ 354 , $ 583 , $ 475 , $ 277 , $ 571 , $ 192 ,1,1,0
5530267479,5552859739,Susan,Kerrissey,355,40,Empty Nesters, $ 308 , $ 508 , $ 287 , $ 304 , $ 615 , $ 111 , $ 221 , $ 462 , $ 292 ,1,1,1
5527672556,5541447616,Stephanie,Herman,325,32,Young Couples, $ 429 , $ 555 , $ 400 , $ 231 , $ 382 , $ 487 , $ 92 , $ 396 , $ 53 ,1,1,1
5526290016,5540121381,Mark,Tavitian,314,39,Young Singles, $ 271 , $ 496 , $ 82 , $ 495 , $ 516 , $ 81 , $ 454 , $ 521 , $ 54 ,0,1,1
5538629585,5551989394,Ted,Robertson,343,29,Young Singles, $ 157 , $ 341 , $ 133 , $ 255 , $ 603 , $ 347 , $ 274 , $ 523 , $ 197 ,1,1,1
5535999037,5552955207,Judy,Smith,412,50,Young Singles, $ 83 , $ 560 , $ 210 , $ 447 , $ 330 , $ 462 , $ 125 , $ 492 , $ 355 ,0,1,0
5536369044,5549783309,Rachel,Schultz,114,40,Empty Nesters, $ 399 , $ 397 , $ 473 , $ 462 , $ 353 , $ 101 , $ 390 , $ 634 , $ 101 ,0,1,0
5539942977,5553500444,Robert,Brown,222,38,Matures, $ 97 , $ 335 , $ 219 , $ 135 , $ 331 , $ 236 , $ 331 , $ 469 , $ 62 ,0,0,1
5538988513,5552339750,Juliann,Moore,214,22,Mom & Baby, $ 364 , $ 368 , $ 63 , $ 370 , $ 392 , $ 399 , $ 101 , $ 646 , $ 194 ,0,1,1
5539411186,5553013315,Tony,Mazzaferro,512,27,Young Couples, $ 97 , $ 383 , $ 153 , $ 163 , $ 614 , $ 307 , $ 145 , $ 611 , $ 127 ,1,0,0
5532894632,5546440278,Christy,Hahn,433,48,Young Singles, $ 440 , $ 514 , $ 410 , $ 415 , $ 506 , $ 59 , $ 422 , $ 507 , $ 358 ,0,1,0
5526130118,5539971643,Renee,Eakin,443,40,Young Couples, $ 169 , $ 346 , $ 96 , $ 347 , $ 599 , $ 149 , $ 455 , $ 527 , $ 420 ,1,1,0
5539791424,5553359058,Karla,Edsinger,212,30,Empty Nesters, $ 323 , $ 377 , $ 445 , $ 291 , $ 334 , $ 148 , $ 375 , $ 613 , $ 366 ,1,1,0
5538602278,5551963056,Mary,Webb,133,24,Young Singles, $ 419 , $ 430 , $ 69 , $ 104 , $ 371 , $ 201 , $ 392 , $ 657 , $ 387 ,1,0,1
5533170442,5546698651,Dennis,Stugelmeyer,555,42,Empty Nesters, $ 173 , $ 602 , $ 454 , $ 134 , $ 518 , $ 244 , $ 248 , $ 562 , $ 484 ,1,0,1
5534903456,5552947147,Alan,Neufer,332,53,Mom & Baby, $ 495 , $ 432 , $ 463 , $ 408 , $ 636 , $ 475 , $ 286 , $ 492 , $ 189 ,0,0,0
5530252928,5543910603,Lydia,Cartmill,315,32,Young Singles, $ 104 , $ 343 , $ 296 , $ 228 , $ 627 , $ 455 , $ 312 , $ 384 , $ 166 ,0,0,0
5533103788,5552793517,Lorrie,Phillips,342,28,Matures, $ 273 , $ 649 , $ 396 , $ 94 , $ 307 , $ 184 , $ 480 , $ 655 , $ 495 ,1,0,1
5530161740,5543825024,Karen,Mathews,215,35,Young Singles, $ 477 , $ 559 , $ 399 , $ 171 , $ 655 , $ 336 , $ 271 , $ 359 , $ 205 ,0,1,1
5527824204,5541592388,Diane,Roth,212,48,Empty Nesters, $ 406 , $ 380 , $ 475 , $ 357 , $ 605 , $ 360 , $ 364 , $ 357 , $ 290 ,1,1,1
5538086590,5551463942,Robin,McCray,325,54,Matures, $ 196 , $ 581 , $ 289 , $ 79 , $ 306 , $ 163 , $ 55 , $ 434 , $ 403 ,0,0,1
5536278818,5549694794,Paula,McMillan,152,21,Mom & Baby, $ 396 , $ 462 , $ 179 , $ 87 , $ 681 , $ 91 , $ 251 , $ 667 , $ 285 ,0,1,1
5539237336,5552583852,Gloria,Hardy,332,49,Mom & Baby, $ 464 , $ 559 , $ 107 , $ 316 , $ 357 , $ 316 , $ 56 , $ 306 , $ 292 ,0,1,1
5532101958,5545677286,Gail,Anderson,223,37,Matures, $ 114 , $ 651 , $ 179 , $ 331 , $ 421 , $ 346 , $ 155 , $ 605 , $ 328 ,1,1,1
5539001618,5552352567,Flor,Romero,532,47,Matures, $ 171 , $ 373 , $ 289 , $ 389 , $ 382 , $ 362 , $ 421 , $ 471 , $ 129 ,0,0,0
5539113972,5552462739,Chris,Thalacker,251,31,Young Singles, $ 103 , $ 435 , $ 498 , $ 234 , $ 357 , $ 258 , $ 95 , $ 376 , $ 149 ,0,0,1
5532828416,5546376935,Esther,Mott,321,42,Young Couples, $ 295 , $ 343 , $ 184 , $ 209 , $ 583 , $ 465 , $ 238 , $ 336 , $ 169 ,1,1,0
5528380385,5542120876,Robert,Ice,115,24,Mom & Baby, $ 175 , $ 439 , $ 342 , $ 464 , $ 533 , $ 210 , $ 220 , $ 549 , $ 488 ,1,1,1
5539405458,5553008092,Michelle,Wirth,145,45,Empty Nesters, $ 423 , $ 637 , $ 135 , $ 334 , $ 397 , $ 66 , $ 140 , $ 324 , $ 466 ,0,1,1
5538313787,5551683220,Terry,Stefanak,131,39,Young Couples, $ 70 , $ 614 , $ 236 , $ 209 , $ 662 , $ 418 , $ 101 , $ 662 , $ 467 ,0,1,0
5537668413,5551055220,Judith,Murphy,543,48,Empty Nesters, $ 85 , $ 326 , $ 308 , $ 329 , $ 459 , $ 465 , $ 471 , $ 611 , $ 490 ,0,0,1
5539605886,5553190294,Joseph,Reda,241,27,Empty Nesters, $ 171 , $ 583 , $ 374 , $ 308 , $ 680 , $ 341 , $ 263 , $ 632 , $ 273 ,0,0,1
5949410663,5949416922,John,Castleberry,552,23,Young Singles, $ 487 , $ 528 , $ 228 , $ 428 , $ 692 , $ 190 , $ 418 , $ 343 , $ 260 ,1,0,0
5538808258,5552971726,Karin,Nystrom Hudson,152,51,Young Couples, $ 382 , $ 455 , $ 415 , $ 59 , $ 660 , $ 169 , $ 212 , $ 375 , $ 320 ,1,1,0
5527662275,5541438042,Sherry,Kirsch,444,52,Young Singles, $ 466 , $ 634 , $ 455 , $ 444 , $ 580 , $ 138 , $ 373 , $ 467 , $ 476 ,0,1,0
5539777268,5553346161,Deborah,Kane,315,43,Young Couples, $ 251 , $ 679 , $ 461 , $ 407 , $ 511 , $ 212 , $ 441 , $ 577 , $ 325 ,1,1,1
5528374995,5552782708,Alicia,Kunisch,422,31,Young Couples, $ 483 , $ 426 , $ 211 , $ 302 , $ 696 , $ 184 , $ 189 , $ 512 , $ 378 ,1,0,1
5531908414,5545496328,Gene,Stringfellow,542,41,Young Singles, $ 317 , $ 528 , $ 133 , $ 277 , $ 365 , $ 164 , $ 71 , $ 453 , $ 83 ,0,0,0
5526878730,5540688098,Kelly,Lloyd,231,32,Young Singles, $ 245 , $ 650 , $ 223 , $ 455 , $ 476 , $ 380 , $ 186 , $ 430 , $ 495 ,1,0,1
5528871868,5542593544,Patrick,Napolitano,241,20,Young Singles, $ 193 , $ 363 , $ 424 , $ 62 , $ 480 , $ 241 , $ 155 , $ 503 , $ 325 ,1,1,0
5537747513,5551132494,Patricia,Hanson,222,32,Young Couples, $ 220 , $ 432 , $ 94 , $ 482 , $ 451 , $ 157 , $ 90 , $ 436 , $ 271 ,1,0,0
5533528797,5547042049,Charlotte,Alexander,141,24,Young Singles, $ 320 , $ 431 , $ 198 , $ 428 , $ 616 , $ 426 , $ 118 , $ 606 , $ 402 ,1,1,1
5539486940,5553082157,Rolanda,Carter,341,35,Empty Nesters, $ 89 , $ 698 , $ 53 , $ 410 , $ 700 , $ 446 , $ 428 , $ 542 , $ 181 ,1,0,1
5534638275,5548103347,Ashley,Atkin,234,46,Mom & Baby, $ 190 , $ 681 , $ 337 , $ 121 , $ 512 , $ 415 , $ 127 , $ 339 , $ 183 ,1,0,1
5946873339,5946896051,Lisa,Carter,551,43,Matures, $ 418 , $ 641 , $ 56 , $ 468 , $ 604 , $ 227 , $ 366 , $ 504 , $ 256 ,1,0,0
5536333999,5549748819,Jeanette,Behrendt,125,53,Young Couples, $ 217 , $ 451 , $ 280 , $ 153 , $ 607 , $ 183 , $ 441 , $ 465 , $ 438 ,1,1,0
5538938408,5552290683,Barbara,Strong,222,34,Empty Nesters, $ 75 , $ 315 , $ 470 , $ 108 , $ 492 , $ 100 , $ 222 , $ 514 , $ 456 ,0,0,1
5532706689,5546258444,Georgina,Velasquez,452,53,Young Singles, $ 236 , $ 641 , $ 486 , $ 416 , $ 402 , $ 106 , $ 482 , $ 560 , $ 119 ,1,1,0
5528417744,5542155707,Rita,Wade,135,26,Young Singles, $ 454 , $ 387 , $ 82 , $ 197 , $ 383 , $ 422 , $ 408 , $ 600 , $ 391 ,0,0,0
5538106102,5551482786,Marilyn,Hellerud,453,47,Young Singles, $ 307 , $ 540 , $ 320 , $ 429 , $ 553 , $ 113 , $ 284 , $ 619 , $ 361 ,1,0,0
5535900265,5549324846,Charles,Newman,552,31,Matures, $ 375 , $ 380 , $ 64 , $ 415 , $ 635 , $ 323 , $ 257 , $ 574 , $ 97 ,1,1,0
5527678305,5541452997,Larry,Smith,535,26,Matures, $ 485 , $ 476 , $ 96 , $ 459 , $ 438 , $ 468 , $ 294 , $ 448 , $ 297 ,0,0,1
5537987604,5551367681,Ricky,Everson,434,35,Young Singles, $ 404 , $ 684 , $ 71 , $ 146 , $ 553 , $ 484 , $ 284 , $ 631 , $ 225 ,0,0,0
5538786215,5552141560,Northeast,Rhonda,553,20,Mom & Baby, $ 452 , $ 650 , $ 402 , $ 431 , $ 466 , $ 458 , $ 424 , $ 599 , $ 120 ,1,1,1
5538956562,5552308465,John,Tomaszewski,242,54,Young Singles, $ 106 , $ 471 , $ 418 , $ 259 , $ 698 , $ 196 , $ 290 , $ 370 , $ 446 ,1,0,0
5528197040,5541949347,Charlene,Ramsey,141,35,Young Singles, $ 415 , $ 685 , $ 174 , $ 125 , $ 507 , $ 365 , $ 58 , $ 691 , $ 139 ,0,1,1
5526376174,5540202113,Thomas,Evering,423,40,Young Singles, $ 210 , $ 493 , $ 399 , $ 71 , $ 300 , $ 66 , $ 282 , $ 630 , $ 341 ,1,0,0
5538456928,5552972098,Cheryl,Claborn,554,55,Matures, $ 306 , $ 541 , $ 368 , $ 191 , $ 371 , $ 445 , $ 83 , $ 563 , $ 198 ,0,1,0
5537971000,5551351415,Cassie,Domingo,154,41,Young Couples, $ 408 , $ 558 , $ 352 , $ 395 , $ 307 , $ 209 , $ 151 , $ 366 , $ 236 ,0,1,1
5538311709,5551681177,Angela,Hebert,111,29,Young Couples, $ 265 , $ 510 , $ 70 , $ 154 , $ 558 , $ 494 , $ 164 , $ 383 , $ 229 ,1,0,1
5534928361,5548380092,Abby,Bell,314,25,Young Couples, $ 219 , $ 597 , $ 173 , $ 263 , $ 627 , $ 232 , $ 130 , $ 700 , $ 321 ,1,1,0
5539299773,5552645293,Elizabeth,Roese,532,40,Matures, $ 366 , $ 528 , $ 310 , $ 102 , $ 312 , $ 190 , $ 298 , $ 424 , $ 291 ,0,1,0
5538958593,5552310463,Carolyn,Black,222,49,Matures, $ 416 , $ 537 , $ 142 , $ 311 , $ 456 , $ 392 , $ 317 , $ 429 , $ 407 ,0,0,0
5532896604,5546442125,Tyler,Daniel,255,37,Empty Nesters, $ 408 , $ 442 , $ 309 , $ 87 , $ 509 , $ 431 , $ 237 , $ 478 , $ 109 ,1,1,0
5539220834,5552567619,Tom,Spinella,553,32,Empty Nesters, $ 61 , $ 630 , $ 73 , $ 113 , $ 691 , $ 280 , $ 91 , $ 389 , $ 337 ,0,0,0
5533578887,5547090250,Dawn,Thomas,354,43,Mom & Baby, $ 447 , $ 622 , $ 410 , $ 486 , $ 332 , $ 313 , $ 335 , $ 330 , $ 142 ,1,0,1
5538208551,5551581260,Robert,Stelman,422,41,Empty Nesters, $ 251 , $ 498 , $ 96 , $ 221 , $ 626 , $ 274 , $ 263 , $ 471 , $ 72 ,1,1,0
5539168994,5552516730,Robert,Davio,532,22,Young Couples, $ 362 , $ 374 , $ 137 , $ 320 , $ 561 , $ 367 , $ 305 , $ 526 , $ 289 ,0,0,1
