Company Name,DUNS Number,Address: line1,Address: line2,City,State/Province,State/Province ISO code,Country,Annual Sales,Industry,SIC Code,Website,Contact Job Title,Gender,Personal Linkedin Link,Contact First Name,Contact Last Name,No of PCs,No of Servers,No of Colur Printers,Major Network Brand,No of Laser Printers
"Airborne, Inc.",70-510-7330,5,91538 Del Sol Trail,Bakersfield,Kentucky,KY,United States,3188478328,Utilities & Waste Management,36046957,g.co,Senior Vice President - HR,Female,www.linkedin.com/Joby,Joby,EVANS,629,32,65,,18
"Airgas, Inc.",70-510-7331,5,91538 Del Sol Trail,Bakersfield,Utah,UT,United States,6890815625,"Arts, Entertainment & Recreation",36046958,g.co,Joint Director - Systems,Male,www.linkedin.com/Zollie,Zollie,JOHNSON,805,29,196,,10
AK Steel Holding Corporation,70-510-7332,5,91538 Del Sol Trail,Bakersfield,Missouri,MO,United States,7360569119,Accommodation & Food Services,36046959,g.co,Chief Administrator,Female,www.linkedin.com/Ileana,Ileana,HAMMOND,730,44,158,,10
"Alaska Air Group, Inc.",70-510-7333,5,91538 Del Sol Trail,Bakersfield,Kentucky,KY,United States,8587147396,Electrical & Electronics,36046960,g.co,Lead Assistant Manager - Technology,Female,www.linkedin.com/Ninon,Ninon,RUSSELL,732,42,96,,15
Alberto-Culver Company,70-510-7334,5,91538 Del Sol Trail,Bakersfield,Nevada,NV,United States,6494782988,Health & Community Services,36046961,g.co,Manager - Digital Marketing,Male,www.linkedin.com/Casey,Casey,FRANCIS,388,42,72,,16
"Albertson's, Inc.",70-510-7335,5,91538 Del Sol Trail,Bakersfield,California,CA,United States,9587511327,"Real Estate, Rental & Leasing",36046962,g.co,Financial Controller,Female,www.linkedin.com/Cal,Cal,BURKE,685,49,55,,11
Alcoa Inc.,70-510-7336,5,91538 Del Sol Trail,Bakersfield,Maine,ME,United States,1016367154,Information & Media,36046963,g.co,Vice President - Finance,Female,www.linkedin.com/Mignon,Mignon,IT,932,22,150,,13
Alleghany Corporation,70-510-7337,5,91538 Del Sol Trail,Bakersfield,Louisiana,LA,United States,3569093786,Transport & Warehousing,36046964,g.co,Deputy Vice President - Finance,Male,www.linkedin.com/Smith,Smith,LLOYD,978,28,178,,7
"Allegheny Energy, Inc.",70-510-7338,5,91538 Del Sol Trail,Bakersfield,New Hampshire,NH,United States,9324865530,Accommodation & Food Services,36046965,g.co,General Manager - Planning & Development,Female,www.linkedin.com/Petra,Petra,WALKER,889,41,162,,11
Allegheny Technologies Incorporated,70-510-7339,5,91538 Del Sol Trail,Bakersfield,Mississippi,MS,United States,3829974742,Personal & Other Services,36046966,g.co,Chairman & Executive Director,Male,www.linkedin.com/Franky,Franky,HOWE,219,59,39,,10
"Allergan, Inc.",70-510-7340,5,91538 Del Sol Trail,Bakersfield,Alabama,AL,United States,9054680682,Banking,36046967,g.co,Assistant General Manager - IT,Male,www.linkedin.com/Warde,Warde,PETERSON,980,58,82,,17
"ALLETE, Inc.",70-510-7341,5,91538 Del Sol Trail,Bakersfield,Maryland,MD,United States,1236829970,Finance & Insurance,36046968,g.co,Vice President - Delivery,Female,www.linkedin.com/Greta,Greta,POWELL,893,48,107,,11
Alliant Energy Corporation,70-510-7342,5,91538 Del Sol Trail,Bakersfield,Connecticut,CT,United States,5240515626,Diversified,36046969,g.co,UNIX Expert,Male,www.linkedin.com/Bartholomeus,Bartholomeus,HOWE,792,40,112,,12
"Allied Waste Industries, Inc.",70-510-7343,5,91538 Del Sol Trail,Bakersfield,New Jersey,NJ,United States,1625635025,Electrical & Electronics,36046970,g.co,General Manager - Marketing,Male,www.linkedin.com/Kincaid,Kincaid,STEVENSON,511,40,140,,19
Allmerica Financial Corporation,70-510-7344,5,91538 Del Sol Trail,Bakersfield,Washington,WA,United States,5312435639,Manufacturing,36046971,g.co,Assistant Vice President - Purchase,Male,www.linkedin.com/Armando,Armando,DUNCAN,530,41,51,,20
The Allstate Corporation,70-510-7345,5,91538 Del Sol Trail,Bakersfield,Puerto Rico,PR,United States,3685743227,"Real Estate, Rental & Leasing",36046972,g.co,General Manager - Engineering & Maintenance,Male,www.linkedin.com/Montgomery,Montgomery,DAVIS,385,56,127,,20
ALLTEL Corporation,70-510-7346,5,91538 Del Sol Trail,Bakersfield,Missouri,MO,United States,7085476994,Education Services,36046973,g.co,Lead - AM Tech Ops,Male,www.linkedin.com/Colbert,Colbert,COLE,607,47,75,,13
"The Alpine Group, Inc.",70-510-7347,5,91538 Del Sol Trail,Bakersfield,New Jersey,NJ,United States,5782083016,Information & Media,36046974,g.co,General Manager - Circle Head Mumba,Male,www.linkedin.com/Zackariah,Zackariah,GORDON,839,33,85,,16
"Amazon.com, Inc.",70-510-7348,5,91538 Del Sol Trail,Bakersfield,New Jersey,NJ,United States,4541296943,MINING,36046975,g.co,Chartered Accountant,Female,www.linkedin.com/Justine,Justine,WILKINSON,939,68,164,,5
AMC Entertainment Inc.,70-510-7349,5,91538 Del Sol Trail,Bakersfield,Idaho,ID,United States,4790723203,Electrical & Electronics,36046976,g.co,Director Finance & Financial Adviser,Male,www.linkedin.com/Bartie,Bartie,CAMPBELL,577,43,117,,11
American Power Conversion Corporation,70-510-7350,5,91538 Del Sol Trail,Bakersfield,Virgin Islands,VI,United States,7013901676,Information & Media,36046977,g.co,Joint Director,Female,www.linkedin.com/Nataline,Nataline,LEONARD,343,63,102,,17
Amerada Hess Corporation,70-510-7351,5,91538 Del Sol Trail,Bakersfield,New Jersey,NJ,United States,7981768043,Construction & Engineering Services,36046978,g.co,Officer - Technical,Male,www.linkedin.com/Padraig,Padraig,DOUGLAS,148,57,143,,14
AMERCO,70-510-7352,5,91538 Del Sol Trail,Bakersfield,New Hampshire,NH,United States,6285893201,Finance & Insurance,36046979,g.co,Head - Technical,Male,www.linkedin.com/Webster,Webster,CO,841,42,79,,6
Ameren Corporation,70-510-7353,5,91538 Del Sol Trail,Bakersfield,Vermont,VT,United States,8518218883,Electrical & Electronics,36046980,g.co,Engineer - Networks,Female,www.linkedin.com/Nicoli,Nicoli,CHAPMAN,148,27,118,,15
America West Holdings Corporation,70-510-7354,5,91538 Del Sol Trail,Bakersfield,California,CA,United States,1436305083,Electrical & Electronics,36046981,g.co,Senior manager - electronic networks,Female,www.linkedin.com/Merna,Merna,MANN,671,44,168,,6
"American Axle & Manufacturing Holdings, Inc.",70-510-7355,5,91538 Del Sol Trail,Bakersfield,Alabama,AL,United States,7964733081,Diversified,36046982,g.co,Delivery Head - Software,Female,www.linkedin.com/Edwina,Edwina,MILLS,713,65,43,,12
"American Eagle Outfitters, Inc.",70-510-7356,5,91538 Del Sol Trail,Bakersfield,North Dakota,ND,United States,6573699910,"Real Estate, Rental & Leasing",36046983,g.co,Senior Manager - Systems,Male,www.linkedin.com/Ev,Ev,MONTGOMERY,712,29,187,,9
"American Electric Power Company, Inc.",70-510-7357,5,91538 Del Sol Trail,Bakersfield,Arkansas,AR,United States,4890408977,Business Management and Scientific Services,36046984,g.co,Manager - Business Development - AP,Female,www.linkedin.com/Una,Una,CAMPBELL,467,51,50,,16
American Express Company,70-510-7358,5,91538 Del Sol Trail,Bakersfield,Washington DC,DC,United States,7511688507,Finance & Insurance,36046985,g.co,Vice President - Corporate Developm,Male,www.linkedin.com/Cecil,Cecil,FORD,396,40,101,,9
"American Financial Group, Inc.",70-510-7359,5,91538 Del Sol Trail,Bakersfield,Arkansas,AR,United States,1989172817,Diversified,36046986,g.co,Head - Product Strategy,Male,www.linkedin.com/Damien,Damien,PAYNE,437,59,91,,15
American Greetings Corporation,70-510-7360,5,91538 Del Sol Trail,Bakersfield,Texas,TX,United States,3573519272,Finance & Insurance,36046987,g.co,Chief Manager - System,Female,www.linkedin.com/Fidelia,Fidelia,CRAIG,379,22,108,,5
"American International Group, Inc.",70-510-7361,5,91538 Del Sol Trail,Bakersfield,Connecticut,CT,United States,4011825705,Utilities & Waste Management,36046988,g.co,Senior Executive - Systems,Male,www.linkedin.com/Sheppard,Sheppard,MORGAN,460,65,192,,12
American Standard Companies Inc.,70-510-7362,5,91538 Del Sol Trail,Bakersfield,Indiana,IN,United States,1190844172,Government,36046989,g.co,Expert,Female,www.linkedin.com/Kiele,Kiele,ALLEN,930,23,135,,7
"American Water Works Company, Inc.",70-510-7363,5,91538 Del Sol Trail,Bakersfield,West Virginia,WV,United States,4300922863,Information & Media,36046990,g.co,Director - Production,Female,www.linkedin.com/Bamby,Bamby,SHAW,733,34,146,,19
AmerisourceBergen Corporation,70-510-7364,5,91538 Del Sol Trail,Bakersfield,North Dakota,ND,United States,1447354001,Manufacturing,36046991,g.co,Analyst - Systems,Female,www.linkedin.com/Francisca,Francisca,MC,312,40,108,,16
"Ames Department Stores, Inc.",70-510-7365,5,91538 Del Sol Trail,Bakersfield,Mississippi,MS,United States,8567953688,Health & Community Services,36046992,g.co,Executive Director,Female,www.linkedin.com/Lanita,Lanita,MITCHELL,698,32,177,,8
Amgen Inc.,70-510-7366,5,91538 Del Sol Trail,Bakersfield,New Hampshire,NH,United States,4776292888,Finance & Insurance,36046993,g.co,Deputy General Manager - Data Centre,Female,www.linkedin.com/Ag,Ag,ALLEN,275,31,123,,10
"Amkor Technology, Inc.",70-510-7367,5,91538 Del Sol Trail,Bakersfield,Delaware,DE,United States,7785130454,Transport & Warehousing,36046994,g.co,Deputy General Manager - C & It - Erp,Male,www.linkedin.com/Alfonso,Alfonso,BOYD,680,56,126,,14
AMR Corporation,70-510-7368,5,91538 Del Sol Trail,Bakersfield,Louisiana,LA,United States,5034993616,Government,36046995,g.co,Associate Consultant,Female,www.linkedin.com/Tamra,Tamra,PAGE,281,53,145,,6
AmSouth Bancorp.,70-510-7369,5,91538 Del Sol Trail,Bakersfield,Puerto Rico,PR,United States,8538136996,IT Supplier,36046996,g.co,Director - Networking,Male,www.linkedin.com/Barbabas,Barbabas,OWENS,401,50,33,,16
"Amtran, Inc.",70-510-7370,5,91538 Del Sol Trail,Bakersfield,Rhode Island,RI,United States,1044950126,WHOLESALE & RETAIL TRADE,36046997,g.co,Chief Analytical Officer,Male,www.linkedin.com/Avrom,Avrom,CHURCH,771,46,49,,19
Anadarko Petroleum Corporation,70-510-7371,5,91538 Del Sol Trail,Bakersfield,South Dakota,SD,United States,9085409781,Government,36046998,g.co,Engineer - Software,Male,www.linkedin.com/Brant,Brant,HAYES,459,36,57,,11
"Analog Devices, Inc.",70-510-7372,5,91538 Del Sol Trail,Bakersfield,Louisiana,LA,United States,8796004766,Utilities & Waste Management,36046999,g.co,Head - ERP,Male,www.linkedin.com/Francisco,Francisco,FLEMING,845,64,51,,10
"Anheuser-Busch Companies, Inc.",70-510-7373,5,91538 Del Sol Trail,Bakersfield,Puerto Rico,PR,United States,4858927642,Diversified,36047000,g.co,Assistant General Manager - IT - ER,Female,www.linkedin.com/Torrie,Torrie,GRAHAM,821,21,96,,6
Anixter International Inc.,70-510-7374,5,91538 Del Sol Trail,Bakersfield,Virgin Islands,VI,United States,8458769182,"Arts, Entertainment & Recreation",36047001,g.co,Manager - Purchase & Stores,Female,www.linkedin.com/Bliss,Bliss,WOODS,118,43,137,,5
AnnTaylor Inc.,70-510-7375,5,91538 Del Sol Trail,Bakersfield,Alaska,AK,United States,1053786638,Education Services,36047002,g.co,Lead Architect & Senior Manager - Program,Male,www.linkedin.com/Dexter,Dexter,WM,722,68,117,,13
"Anthem, Inc.",70-510-7376,5,91538 Del Sol Trail,Bakersfield,Arizona,AZ,United States,3478087232,Accommodation & Food Services,36047003,g.co,Director - Product Design,Male,www.linkedin.com/Mitchel,Mitchel,FREEMAN,152,49,39,,16
AOL Time Warner Inc.,70-510-7377,5,91538 Del Sol Trail,Bakersfield,Connecticut,CT,United States,4230811163,Utilities & Waste Management,36047004,g.co,Group Head - Corporate Communicatios,Female,www.linkedin.com/Selena,Selena,LAMB,707,36,136,,20
Aon Corporation,70-510-7378,5,91538 Del Sol Trail,Bakersfield,Wisconsin,WI,United States,9086549980,Personal & Other Services,36047005,g.co,President - Finance & Planning,Female,www.linkedin.com/Pauline,Pauline,STREET,387,25,110,,11
Apache Corporation,70-510-7379,5,91538 Del Sol Trail,Bakersfield,Alabama,AL,United States,3265663390,MINING,36047006,g.co,Senior Officer - Mortgage Loans,Male,www.linkedin.com/Westley,Westley,FRANK,158,69,91,,19
"Apple Computer, Inc.",70-510-7380,5,91538 Del Sol Trail,Bakersfield,Massachusetts,MA,United States,6007422763,Accommodation & Food Services,36047007,g.co,Chief Officer - Delivery,Female,www.linkedin.com/Gerhardine,Gerhardine,GREGORY,901,35,195,,17
Applera Corporation,70-510-7381,5,91538 Del Sol Trail,Bakersfield,Indiana,IN,United States,7059289220,IT Supplier,36047008,g.co,Chief Manager,Male,www.linkedin.com/Farley,Farley,THOMPSON,700,24,73,,17
"Applied Industrial Technologies, Inc.",70-510-7382,5,91538 Del Sol Trail,Bakersfield,Utah,UT,United States,6066304608,Banking,36047009,g.co,Head - Corporate ADS,Female,www.linkedin.com/Karel,Karel,NICHOLS,980,68,76,,12
"Applied Materials, Inc.",70-510-7383,5,91538 Del Sol Trail,Bakersfield,Montana,MT,United States,9159748874,Government,36047010,g.co,Executive Director - Finance & Admin,Male,www.linkedin.com/Anatol,Anatol,ROSS,830,49,84,,9
"Aquila, Inc.",70-510-7384,5,91538 Del Sol Trail,Bakersfield,Missouri,MO,United States,3877188474,Government,36047011,g.co,Deputy Chief Architect,Male,www.linkedin.com/Sawyere,Sawyere,CARROLL,776,50,93,,16
ARAMARK Corporation,70-510-7385,5,91538 Del Sol Trail,Bakersfield,West Virginia,WV,United States,2410699495,MINING,36047012,g.co,Assistant Vice President - Global Sales,Female,www.linkedin.com/Morgan,Morgan,CURTIS,762,53,176,,8
"Arch Coal, Inc.",70-510-7386,5,91538 Del Sol Trail,Bakersfield,Arizona,AZ,United States,6471590420,Health & Community Services,36047013,g.co,Chief Engineer,Male,www.linkedin.com/Leonidas,Leonidas,COLLEGE,606,23,124,,9
Archer Daniels Midland Company,70-510-7387,5,91538 Del Sol Trail,Bakersfield,New Mexico,NM,United States,9379326296,Accommodation & Food Services,36047014,g.co,Regional Manager - Sales,Female,www.linkedin.com/Audrey,Audrey,WATSON,830,65,97,,6
Arkansas Best Corporation,70-510-7388,5,91538 Del Sol Trail,Bakersfield,Guam,GU,United States,6075242809,Education Services,36047015,g.co,Group Chief Information Officer,Female,www.linkedin.com/Carlen,Carlen,SIMMONS,148,42,107,,12
"Armstrong Holdings, Inc.",70-510-7389,5,91538 Del Sol Trail,Bakersfield,Missouri,MO,United States,1100384790,Government,36047016,g.co,Manager - Data Center Delivery,Female,www.linkedin.com/Torie,Torie,STREET,491,47,128,,7
"Arrow Electronics, Inc.",70-510-7390,5,91538 Del Sol Trail,Bakersfield,Mississippi,MS,United States,2622741203,Diversified,36047017,g.co,Manager - CRM,Male,www.linkedin.com/Colin,Colin,KNIGHT,144,64,167,,18
"ArvinMeritor, Inc.",70-510-7391,5,91538 Del Sol Trail,Bakersfield,Illinois,IL,United States,7350330021,Finance & Insurance,36047018,g.co,Trainee,Male,www.linkedin.com/Spence,Spence,SULLIVAN,667,32,109,,9
Ashland Inc.,70-510-7392,5,91538 Del Sol Trail,Bakersfield,Delaware,DE,United States,5049216819,Business Management and Scientific Services,36047019,g.co,Senior Manager - ITD,Female,www.linkedin.com/Phelia,Phelia,PARK,119,30,57,,12
Astoria Financial Corporation,70-510-7393,5,91538 Del Sol Trail,Bakersfield,Maryland,MD,United States,7716700322,Manufacturing,36047020,g.co,Senior Vice President - Technical,Female,www.linkedin.com/Debby,Debby,GIBSON,437,33,94,,18
AT&T Corp.,70-510-7394,5,91538 Del Sol Trail,Bakersfield,Delaware,DE,United States,9229814209,Information & Media,36047021,g.co,Administrator Associate,Female,www.linkedin.com/Ellyn,Ellyn,WATSON,244,22,164,,17
Atmel Corporation,70-510-7395,5,91538 Del Sol Trail,Bakersfield,Pennsylvania,PA,United States,7114642477,Accommodation & Food Services,36047022,g.co,Mananging Director,Male,www.linkedin.com/Wakefield,Wakefield,GILBERT,801,50,169,,14
Atmos Energy Corporation,70-510-7396,5,91538 Del Sol Trail,Bakersfield,Puerto Rico,PR,United States,2713209395,MINING,36047023,g.co,Associate Vice President - HR,Male,www.linkedin.com/Meir,Meir,WILLIAMS,365,30,154,,8
Audiovox Corporation,70-510-7397,5,91538 Del Sol Trail,Bakersfield,Minnesota,MN,United States,2152844598,"Arts, Entertainment & Recreation",36047024,g.co,Manager - Service Delivery,Male,www.linkedin.com/Len,Len,WARNER,699,38,188,,11
"Autoliv, Inc.",70-510-7398,5,91538 Del Sol Trail,Bakersfield,Florida,FL,United States,2330468374,Construction & Engineering Services,36047025,g.co,General Manager - Cr,Male,www.linkedin.com/Niles,Niles,GILBERT,365,43,70,,19
"Automatic Data Processing, Inc.",70-510-7399,5,91538 Del Sol Trail,Bakersfield,Texas,TX,United States,9008947946,Information & Media,36047026,g.co,Assistant Vice President - Information Security Gr,Female,www.linkedin.com/Joanie,Joanie,WALKER,254,58,107,,6
"AutoNation, Inc.",70-510-7400,5,91538 Del Sol Trail,Bakersfield,Wisconsin,WI,United States,8737506800,Electrical & Electronics,36047027,g.co,Assistant Manager - Sales,Male,www.linkedin.com/Sigfrid,Sigfrid,MARTIN,413,45,190,,19
"AutoZone, Inc.",70-410-7401,5,91538 Del Sol Trail,Bakersfield,Montana,MT,United States,8490239238,Education Services,36047028,g.co,General Manager - Corporate Communi,Male,www.linkedin.com/Mead,Mead,ATKINSON,128,55,175,,9
Avaya Inc.,70-410-7402,5,91538 Del Sol Trail,Bakersfield,Delaware,DE,United States,6561263256,Electrical & Electronics,36047029,g.co,Manger - IT,Male,www.linkedin.com/Marlo,Marlo,WILLIAMSON,264,69,127,,11
Avery Dennison Corporation,70-410-7403,5,91538 Del Sol Trail,Bakersfield,Rhode Island,RI,United States,9071628971,Business Management and Scientific Services,36047030,g.co,Chief Information Security Officer,Male,www.linkedin.com/John-Patrick,John-Patrick,CROSS,456,26,91,,18
Avista Corporation,70-410-7404,5,91538 Del Sol Trail,Bakersfield,Wisconsin,WI,United States,5828286947,Diversified,36047031,g.co,Incharge - Projects Finance & Trade Finance,Female,www.linkedin.com/Aubree,Aubree,STANLEY,154,51,48,,15
"Avnet, Inc.",70-410-7405,5,91538 Del Sol Trail,Bakersfield,Nebraska,NE,United States,3304216469,Personal & Other Services,36047032,g.co,Chairman & Managing Director,Female,www.linkedin.com/Wallis,Wallis,COUNTY,199,29,97,,11
"Avon Products, Inc.",70-410-7406,5,91538 Del Sol Trail,Bakersfield,North Dakota,ND,United States,9764682976,Health & Community Services,36047033,g.co,Deputy Manager - Accounts,Female,www.linkedin.com/Beatrice,Beatrice,JONES,258,25,116,,6
Baker Hughes Incorporated,70-410-7407,5,91538 Del Sol Trail,Bakersfield,Rhode Island,RI,United States,6295917060,Construction & Engineering Services,36047034,g.co,Global Head - IT,Female,www.linkedin.com/Dinnie,Dinnie,MYERS,149,21,69,,9
Ball Corporation,70-410-7408,5,91538 Del Sol Trail,Bakersfield,Minnesota,MN,United States,1094058718,Health & Community Services,36047035,g.co,President - Project,Female,www.linkedin.com/Regina,Regina,MILLER,733,36,67,,18
Bank of America Corporation,70-410-7409,5,91538 Del Sol Trail,Bakersfield,Puerto Rico,PR,United States,1207973081,IT Supplier,36047036,g.co,Head of Department - Computer Science,Male,www.linkedin.com/Zachery,Zachery,WILSON,171,70,185,,7
"The Bank of New York Company, Inc.",70-410-7410,5,91538 Del Sol Trail,Bakersfield,North Carolina,NC,United States,2077284523,Manufacturing,36047037,g.co,Chief Technical Officer,Male,www.linkedin.com/Ripley,Ripley,ABBOTT,182,21,145,,13
Bank One Corporation,70-410-7411,5,91538 Del Sol Trail,Bakersfield,Massachusetts,MA,United States,1277024868,Health & Community Services,36047038,g.co,Networking engineer,Male,www.linkedin.com/Joshua,Joshua,FISHER,983,59,97,,19
"Banknorth Group, Inc.",70-410-7412,5,91538 Del Sol Trail,Bakersfield,Utah,UT,United States,6353832237,MINING,36047039,g.co,Vice President - Corporate Planning,Female,www.linkedin.com/Sharona,Sharona,DAY,866,35,52,,18
Banta Corporation,70-410-7413,5,91538 Del Sol Trail,Bakersfield,Arkansas,AR,United States,6027692361,Construction & Engineering Services,36047040,g.co,Assistant Vice President - Information Security Gr,Male,www.linkedin.com/Doyle,Doyle,FLEMING,669,27,155,,6
"Barnes & Noble, Inc.",70-410-7414,5,91538 Del Sol Trail,Bakersfield,Illinois,IL,United States,3454882085,Government,36047041,g.co,Senior Officer - Administrator,Female,www.linkedin.com/Kissiah,Kissiah,BALL,809,39,182,,6
