Company Name,DUNS Number,Address: line1,Address: line2,City,State/Province,State/Province ISO code,Country,Annual Sales,Industry,SIC Code,Website,Contact Job Title,Gender,Personal Linkedin Link,Contact First Name,Contact Last Name,No of PCs,No of Servers,No of Colur Printers,Major Network Brand,No of Laser Printers
"Affiliated Computer Services, Inc.",70-610-7323,5,91538 Del Sol Trail,Bakersfield,South Carolina,SC,United States,7972665780,Banking,36046950,g.co,Director - Technical & Operation,Male,www.linkedin.com/Cal,Cal,MISS,478,35,48,,11
AFLAC Incorporated,70-610-7324,5,91538 Del Sol Trail,Bakersfield,Arkansas,AR,United States,7346339426,Diversified,36046951,g.co,Associate Vice President,Male,www.linkedin.com/Clarance,Clarance,ANDREWS,197,50,108,,20
AGCO Corporation,70-610-7325,5,91538 Del Sol Trail,Bakersfield,Washington DC,DC,United States,2059746070,"Arts, Entertainment & Recreation",36046952,g.co,Vice President - Operations,Female,www.linkedin.com/Dara,Dara,GARDNER,818,33,184,,14
"Agilent Technologies, Inc.",70-610-7326,5,91538 Del Sol Trail,Bakersfield,Idaho,ID,United States,6884322835,Construction & Engineering Services,36046953,g.co,Medical Director,Male,www.linkedin.com/Mitchel,Mitchel,MITCHELL,213,49,47,,13
Agway Inc.,70-610-7327,5,91538 Del Sol Trail,Bakersfield,Mississippi,MS,United States,7178023777,Telecommunications,36046954,g.co,President - Finance,Female,www.linkedin.com/Tori,Tori,HOWELL,945,36,74,,12
Apartment Investment and Management Company,70-610-7328,5,91538 Del Sol Trail,Bakersfield,Maine,ME,United States,5479021236,Health & Community Services,36046955,g.co,General Manager - Marketing & Branding,Male,www.linkedin.com/Constantinos,Constantinos,HAYES,826,59,55,,16
"Air Products and Chemicals, Inc.",70-610-7329,5,91538 Del Sol Trail,Bakersfield,Hawaii,HI,United States,5662932935,Government,36046956,g.co,General Manager - Engineer & Services,Female,www.linkedin.com/Myrtia,Myrtia,ELLIOTT,507,51,52,,15
"Airborne, Inc.",70-610-7330,5,91538 Del Sol Trail,Bakersfield,Tennessee,TN,United States,5459063954,Education Services,36046957,g.co,Senior Executive Director,Female,www.linkedin.com/Gloriane,Gloriane,CRAWFORD,629,32,65,,18
"Airgas, Inc.",70-610-7331,5,91538 Del Sol Trail,Bakersfield,South Dakota,SD,United States,1669946982,Construction & Engineering Services,36046958,g.co,Senior Vice President Apac - Sales,Male,www.linkedin.com/Hansel,Hansel,HARRISON,805,29,196,,10
AK Steel Holding Corporation,70-610-7332,5,91538 Del Sol Trail,Bakersfield,Puerto Rico,PR,United States,7475888539,Utilities & Waste Management,36046959,g.co,Chief - HR,Male,www.linkedin.com/Marko,Marko,EVANS,730,44,158,,10
"Alaska Air Group, Inc.",70-610-7333,5,91538 Del Sol Trail,Bakersfield,Colorado,CO,United States,4284179317,IT Supplier,36046960,g.co,Administrator IT - System,Male,www.linkedin.com/Amery,Amery,PAUL,732,42,96,,15
Alberto-Culver Company,70-610-7334,5,91538 Del Sol Trail,Bakersfield,Washington,WA,United States,5582447655,Diversified,36046961,g.co,Senior Vice President & Global Head,Male,www.linkedin.com/Guthry,Guthry,RICHARDS,388,42,72,,16
"Albertson's, Inc.",70-610-7335,5,91538 Del Sol Trail,Bakersfield,Ohio,OH,United States,3713601882,IT Supplier,36046962,g.co,Project Manager - IT,Male,www.linkedin.com/Isaak,Isaak,MOORE,685,49,55,,11
Alcoa Inc.,70-610-7336,5,91538 Del Sol Trail,Bakersfield,North Dakota,ND,United States,3149851277,Utilities & Waste Management,36046963,g.co,Network Lead,Female,www.linkedin.com/Anastassia,Anastassia,CHAPMAN,932,22,150,,13
Alleghany Corporation,70-610-7337,5,91538 Del Sol Trail,Bakersfield,New Jersey,NJ,United States,5697644320,Electrical & Electronics,36046964,g.co,Assistant General Manager - Technology Services,Female,www.linkedin.com/Meagan,Meagan,REID,978,28,178,,7
"Allegheny Energy, Inc.",70-610-7338,5,91538 Del Sol Trail,Bakersfield,Guam,GU,United States,2177397363,Health & Community Services,36046965,g.co,Associate - IT,Male,www.linkedin.com/Jerold,Jerold,ELLIS,889,41,162,,11
Allegheny Technologies Incorporated,70-610-7339,5,91538 Del Sol Trail,Bakersfield,New York,NY,United States,1339715943,Transport & Warehousing,36046966,g.co,Consultant - Principal,Female,www.linkedin.com/Hyacinthe,Hyacinthe,HOLT,219,59,39,,10
"Allergan, Inc.",70-610-7340,5,91538 Del Sol Trail,Bakersfield,Michigan,MI,United States,6415989372,Electrical & Electronics,36046967,g.co,Head - HR & Admin,Female,www.linkedin.com/Katinka,Katinka,RUSSELL,980,58,82,,17
"ALLETE, Inc.",70-610-7341,5,91538 Del Sol Trail,Bakersfield,Guam,GU,United States,3420003798,Education Services,36046968,g.co,Officer - Procurement,Male,www.linkedin.com/Henrie,Henrie,FELLOWS,893,48,107,,11
Alliant Energy Corporation,70-610-7342,5,91538 Del Sol Trail,Bakersfield,Virginia,VA,United States,3430268045,WHOLESALE & RETAIL TRADE,36046969,g.co,Deputy General Manager & Head Of Department - Out,Female,www.linkedin.com/Irene,Irene,HARPER,792,40,112,,12
"Allied Waste Industries, Inc.",70-610-7343,5,91538 Del Sol Trail,Bakersfield,Ohio,OH,United States,6140620426,WHOLESALE & RETAIL TRADE,36046970,g.co,Assistant General Manager - Solutions En,Male,www.linkedin.com/Job,Job,LEONARD,511,40,140,,19
Allmerica Financial Corporation,70-610-7344,5,91538 Del Sol Trail,Bakersfield,Massachusetts,MA,United States,7784094208,Personal & Other Services,36046971,g.co,Manager - Software Services,Female,www.linkedin.com/Lydia,Lydia,JOHNSTON,530,41,51,,20
The Allstate Corporation,70-610-7345,5,91538 Del Sol Trail,Bakersfield,Rhode Island,RI,United States,8225773659,"Real Estate, Rental & Leasing",36046972,g.co,Executive Vice President - Integrated Product Deve,Male,www.linkedin.com/Dickie,Dickie,DAWSON,385,56,127,,20
ALLTEL Corporation,70-610-7346,5,91538 Del Sol Trail,Bakersfield,Alabama,AL,United States,2288680065,Personal & Other Services,36046973,g.co,Executive Officer,Female,www.linkedin.com/Ninetta,Ninetta,WRIGHT,607,47,75,,13
"The Alpine Group, Inc.",70-610-7347,5,91538 Del Sol Trail,Bakersfield,Alaska,AK,United States,4055398516,WHOLESALE & RETAIL TRADE,36046974,g.co,Manager - Communications,Female,www.linkedin.com/Raf,Raf,ARMSTRONG,839,33,85,,16
"Amazon.com, Inc.",70-610-7348,5,91538 Del Sol Trail,Bakersfield,Illinois,IL,United States,7555811694,"Arts, Entertainment & Recreation",36046975,g.co,Senior Manager - EDP,Male,www.linkedin.com/Conan,Conan,ANDREWS,939,68,164,,5
AMC Entertainment Inc.,70-610-7349,5,91538 Del Sol Trail,Bakersfield,Minnesota,MN,United States,5623342176,IT Supplier,36046976,g.co,Lead Technology Specialist,Female,www.linkedin.com/Marnia,Marnia,EVANS,577,43,117,,11
American Power Conversion Corporation,70-610-7350,5,91538 Del Sol Trail,Bakersfield,Delaware,DE,United States,7182340619,Education Services,36046977,g.co,President & Chief Executive Officer,Male,www.linkedin.com/Erasmus,Erasmus,BOOTH,343,63,102,,17
Amerada Hess Corporation,70-610-7351,5,91538 Del Sol Trail,Bakersfield,Oregon,OR,United States,7878492834,Utilities & Waste Management,36046978,g.co,Group Head - HR,Female,www.linkedin.com/Aurelea,Aurelea,HARRIS,148,57,143,,14
AMERCO,70-610-7352,5,91538 Del Sol Trail,Bakersfield,Idaho,ID,United States,5614890989,Finance & Insurance,36046979,g.co,Manager - MIS & Supply Chain,Female,www.linkedin.com/Margaretta,Margaretta,OWENS,841,42,79,,6
Ameren Corporation,70-610-7353,5,91538 Del Sol Trail,Bakersfield,Florida,FL,United States,3920540670,Banking,36046980,g.co,Assistant Vice President - Purchase,Male,www.linkedin.com/Bjorne,Bjorne,ROBERTSON,148,27,118,,15
America West Holdings Corporation,70-610-7354,5,91538 Del Sol Trail,Bakersfield,Louisiana,LA,United States,2715236405,Government,36046981,g.co,General Manager - C & Ib,Female,www.linkedin.com/Stephenie,Stephenie,HAMILTON,671,44,168,,6
"American Axle & Manufacturing Holdings, Inc.",70-610-7355,5,91538 Del Sol Trail,Bakersfield,Oklahoma,OK,United States,6292052583,Transport & Warehousing,36046982,g.co,Senior Officer - Administrator,Female,www.linkedin.com/Reggie,Reggie,CLARKE,713,65,43,,12
"American Eagle Outfitters, Inc.",70-610-7356,5,91538 Del Sol Trail,Bakersfield,Minnesota,MN,United States,4457912558,Accommodation & Food Services,36046983,g.co,President & Group Chief Finance Off,Female,www.linkedin.com/Reta,Reta,STEPHENS,712,29,187,,9
"American Electric Power Company, Inc.",70-610-7357,5,91538 Del Sol Trail,Bakersfield,Minnesota,MN,United States,8592567835,MINING,36046984,g.co,Program Manager,Male,www.linkedin.com/Murphy,Murphy,CHAPMAN,467,51,50,,16
American Express Company,70-610-7358,5,91538 Del Sol Trail,Bakersfield,Montana,MT,United States,6444569637,WHOLESALE & RETAIL TRADE,36046985,g.co,Senior General Manager - Manufacturing,Male,www.linkedin.com/Wolfy,Wolfy,FREEMAN,396,40,101,,9
"American Financial Group, Inc.",70-610-7359,5,91538 Del Sol Trail,Bakersfield,Maryland,MD,United States,7590238519,Telecommunications,36046986,g.co,Deputy Manager - Accounts,Male,www.linkedin.com/Chevalier,Chevalier,CLARK,437,59,91,,15
American Greetings Corporation,70-610-7360,5,91538 Del Sol Trail,Bakersfield,Ohio,OH,United States,8667803707,Personal & Other Services,36046987,g.co,Research Technology & Innovations,Female,www.linkedin.com/Ferdinande,Ferdinande,MORRISON,379,22,108,,5
"American International Group, Inc.",70-610-7361,5,91538 Del Sol Trail,Bakersfield,Florida,FL,United States,3045659898,Manufacturing,36046988,g.co,Network Systems Admin,Female,www.linkedin.com/Jolene,Jolene,ROSE,460,65,192,,12
American Standard Companies Inc.,70-610-7362,5,91538 Del Sol Trail,Bakersfield,South Carolina,SC,United States,4308375665,IT Supplier,36046989,g.co,Management Trainee,Female,www.linkedin.com/Jyoti,Jyoti,BURTON,930,23,135,,7
"American Water Works Company, Inc.",70-610-7363,5,91538 Del Sol Trail,Bakersfield,Kansas,KS,United States,6333235408,Banking,36046990,g.co,Vice President - Finance,Male,www.linkedin.com/Monroe,Monroe,MAY,733,34,146,,19
AmerisourceBergen Corporation,70-610-7364,5,91538 Del Sol Trail,Bakersfield,Louisiana,LA,United States,9961724330,Banking,36046991,g.co,Member - Finance,Male,www.linkedin.com/Rice,Rice,MORTON,312,40,108,,16
"Ames Department Stores, Inc.",70-610-7365,5,91538 Del Sol Trail,Bakersfield,Massachusetts,MA,United States,8165661705,Banking,36046992,g.co,Solution Architect - Server,Male,www.linkedin.com/Hewet,Hewet,ARNOLD,698,32,177,,8
Amgen Inc.,70-610-7366,5,91538 Del Sol Trail,Bakersfield,Maryland,MD,United States,1257928393,Construction & Engineering Services,36046993,g.co,Executive Technology Infrastructure,Male,www.linkedin.com/Algernon,Algernon,STONE,275,31,123,,10
"Amkor Technology, Inc.",70-610-7367,5,91538 Del Sol Trail,Bakersfield,Iowa,IA,United States,7415124514,Government,36046994,g.co,DM - IT,Male,www.linkedin.com/Benedict,Benedict,RICHARDSON,680,56,126,,14
AMR Corporation,70-610-7368,5,91538 Del Sol Trail,Bakersfield,Delaware,DE,United States,8811276206,IT Supplier,36046995,g.co,Administrator - Sap,Male,www.linkedin.com/Nevin,Nevin,LAMB,281,53,145,,6
AmSouth Bancorp.,70-610-7369,5,91538 Del Sol Trail,Bakersfield,Florida,FL,United States,3408824923,WHOLESALE & RETAIL TRADE,36046996,g.co,Head - R & D,Female,www.linkedin.com/Zoe,Zoe,OLIVER,401,50,33,,16
"Amtran, Inc.",70-610-7370,5,91538 Del Sol Trail,Bakersfield,Louisiana,LA,United States,2254311607,WHOLESALE & RETAIL TRADE,36046997,g.co,Assistant General Manager - Departm,Female,www.linkedin.com/Austin,Austin,DAVIES,771,46,49,,19
Anadarko Petroleum Corporation,70-610-7371,5,91538 Del Sol Trail,Bakersfield,Missouri,MO,United States,6091629618,Education Services,36046998,g.co,Engineer - Project,Female,www.linkedin.com/Alyda,Alyda,FULLER,459,36,57,,11
"Analog Devices, Inc.",70-610-7372,5,91538 Del Sol Trail,Bakersfield,Alabama,AL,United States,6207816158,Information & Media,36046999,g.co,Executive - Administration,Female,www.linkedin.com/Cybel,Cybel,CLARK,845,64,51,,10
"Anheuser-Busch Companies, Inc.",70-610-7373,5,91538 Del Sol Trail,Bakersfield,Virginia,VA,United States,4845384587,Transport & Warehousing,36047000,g.co,Senior General Manager - Finance,Male,www.linkedin.com/Giovanni,Giovanni,LEE,821,21,96,,6
Anixter International Inc.,70-610-7374,5,91538 Del Sol Trail,Bakersfield,New Jersey,NJ,United States,9636153014,Construction & Engineering Services,36047001,g.co,Chief Engineer,Male,www.linkedin.com/Ferdinand,Ferdinand,HOLT,118,43,137,,5
AnnTaylor Inc.,70-610-7375,5,91538 Del Sol Trail,Bakersfield,Louisiana,LA,United States,3533797156,Construction & Engineering Services,36047002,g.co,Sr Officer - Systems,Male,www.linkedin.com/Xymenes,Xymenes,COX,722,68,117,,13
"Anthem, Inc.",70-610-7376,5,91538 Del Sol Trail,Bakersfield,Texas,TX,United States,7037375692,Banking,36047003,g.co,Deputy General Manager - New Produc,Male,www.linkedin.com/Dimitri,Dimitri,MURRAY,152,49,39,,16
AOL Time Warner Inc.,70-610-7377,5,91538 Del Sol Trail,Bakersfield,Tennessee,TN,United States,5464050811,Business Management and Scientific Services,36047004,g.co,Chief Information & Security Officer,Male,www.linkedin.com/Bernard,Bernard,PIERCE,707,36,136,,20
Aon Corporation,70-610-7378,5,91538 Del Sol Trail,Bakersfield,Arizona,AZ,United States,7769019816,IT Supplier,36047005,g.co,Medical Director,Female,www.linkedin.com/Ginevra,Ginevra,HARVEY,387,25,110,,11
Apache Corporation,70-610-7379,5,91538 Del Sol Trail,Bakersfield,Arizona,AZ,United States,7390027488,Manufacturing,36047006,g.co,Team Lead - Data,Female,www.linkedin.com/Dianemarie,Dianemarie,NORTON,158,69,91,,19
"Apple Computer, Inc.",70-610-7380,5,91538 Del Sol Trail,Bakersfield,Maryland,MD,United States,6004371931,WHOLESALE & RETAIL TRADE,36047007,g.co,Group Executive Vice President - Strategy HR,Female,www.linkedin.com/Marney,Marney,BLAIR,901,35,195,,17
Applera Corporation,70-610-7381,5,91538 Del Sol Trail,Bakersfield,South Carolina,SC,United States,9064323610,Electrical & Electronics,36047008,g.co,Global Head - IT,Female,www.linkedin.com/Noella,Noella,STANLEY,700,24,73,,17
"Applied Industrial Technologies, Inc.",70-610-7382,5,91538 Del Sol Trail,Bakersfield,Mississippi,MS,United States,4766927622,Construction & Engineering Services,36047009,g.co,Senior Officer - Administrator,Female,www.linkedin.com/Marilyn,Marilyn,SANDERS,980,68,76,,12
"Applied Materials, Inc.",70-610-7383,5,91538 Del Sol Trail,Bakersfield,Minnesota,MN,United States,8941595865,Electrical & Electronics,36047010,g.co,Manager - IT Operations (India Region),Male,www.linkedin.com/Brooks,Brooks,COOK,830,49,84,,9
"Aquila, Inc.",70-610-7384,5,91538 Del Sol Trail,Bakersfield,Rhode Island,RI,United States,5982594355,Business Management and Scientific Services,36047011,g.co,Director - Program,Male,www.linkedin.com/Stanly,Stanly,HOWARD,776,50,93,,16
ARAMARK Corporation,70-610-7385,5,91538 Del Sol Trail,Bakersfield,Nebraska,NE,United States,9399493496,Education Services,36047012,g.co,Vice President - Finance & Accounts,Male,www.linkedin.com/Sebastiano,Sebastiano,MARSHALL,762,53,176,,8
"Arch Coal, Inc.",70-610-7386,5,91538 Del Sol Trail,Bakersfield,New Jersey,NJ,United States,8082911175,Finance & Insurance,36047013,g.co,Senior Engineer - IT,Male,www.linkedin.com/Jessey,Jessey,MANN,606,23,124,,9
Archer Daniels Midland Company,70-610-7387,5,91538 Del Sol Trail,Bakersfield,Mississippi,MS,United States,2914253586,Health & Community Services,36047014,g.co,Regional Manager - Sales,Female,www.linkedin.com/Quintina,Quintina,BRIEN,830,65,97,,6
Arkansas Best Corporation,70-610-7388,5,91538 Del Sol Trail,Bakersfield,Montana,MT,United States,5911697005,Finance & Insurance,36047015,g.co,Director - Rac & Planning,Male,www.linkedin.com/Billy,Billy,HALL,148,42,107,,12
"Armstrong Holdings, Inc.",70-610-7389,5,91538 Del Sol Trail,Bakersfield,Iowa,IA,United States,4573695495,Manufacturing,36047016,g.co,Executive Vice President - Technology,Male,www.linkedin.com/Agamemnon,Agamemnon,ROOSEVELT,491,47,128,,7
"Arrow Electronics, Inc.",70-610-7390,5,91538 Del Sol Trail,Bakersfield,Idaho,ID,United States,2721529353,Government,36047017,g.co,Head - National Sales,Male,www.linkedin.com/Bartolemo,Bartolemo,GRAY,144,64,167,,18
"ArvinMeritor, Inc.",70-610-7391,5,91538 Del Sol Trail,Bakersfield,Maine,ME,United States,3555437407,MINING,36047018,g.co,Head - HR & Admin,Male,www.linkedin.com/Cristopher,Cristopher,WELCH,667,32,109,,9
Ashland Inc.,70-610-7392,5,91538 Del Sol Trail,Bakersfield,South Dakota,SD,United States,4559513624,Manufacturing,36047019,g.co,Assistant Deputy General,Female,www.linkedin.com/Kara-Lynn,Kara-Lynn,POTTER,119,30,57,,12
Astoria Financial Corporation,70-610-7393,5,91538 Del Sol Trail,Bakersfield,Wyoming,WY,United States,8433530219,WHOLESALE & RETAIL TRADE,36047020,g.co,In - charge - Computers,Male,www.linkedin.com/Bart,Bart,BOOTH,437,33,94,,18
AT&T Corp.,70-610-7394,5,91538 Del Sol Trail,Bakersfield,Nebraska,NE,United States,8927655535,Electrical & Electronics,36047021,g.co,Business Systems Analyst,Female,www.linkedin.com/Maudie,Maudie,WM,244,22,164,,17
Atmel Corporation,70-610-7395,5,91538 Del Sol Trail,Bakersfield,Alaska,AK,United States,9244460872,Government,36047022,g.co,Senior Vice President - HR & QMG fo,Male,www.linkedin.com/Silvain,Silvain,CITY,801,50,169,,14
Atmos Energy Corporation,70-610-7396,5,91538 Del Sol Trail,Bakersfield,Texas,TX,United States,8455292292,Business Management and Scientific Services,36047023,g.co,Senior Team Lead - IT,Female,www.linkedin.com/Tomiko,Tomiko,CHARLES,365,30,154,,8
Audiovox Corporation,70-610-7397,5,91538 Del Sol Trail,Bakersfield,Oklahoma,OK,United States,2793455270,Information & Media,36047024,g.co,Head of Department - Computer Science,Male,www.linkedin.com/Terrance,Terrance,WOODS,699,38,188,,11
"Autoliv, Inc.",70-610-7398,5,91538 Del Sol Trail,Bakersfield,Louisiana,LA,United States,6635403849,Education Services,36047025,g.co,Assistant Vice President - Relationship India,Female,www.linkedin.com/Liorah,Liorah,PAUL,365,43,70,,19
"Automatic Data Processing, Inc.",70-610-7399,5,91538 Del Sol Trail,Bakersfield,Michigan,MI,United States,3800087074,MINING,36047026,g.co,Group Manager - Information Securit,Male,www.linkedin.com/Ferdinand,Ferdinand,PARK,254,58,107,,6
"AutoNation, Inc.",70-610-7400,5,91538 Del Sol Trail,Bakersfield,Missouri,MO,United States,9113186208,"Real Estate, Rental & Leasing",36047027,g.co,Vice President - Central Technology Group,Male,www.linkedin.com/Pennie,Pennie,HOUSE,413,45,190,,19
"AutoZone, Inc.",70-610-7401,5,91538 Del Sol Trail,Bakersfield,Tennessee,TN,United States,2315702298,Personal & Other Services,36047028,g.co,Chief General Manager - IT,Female,www.linkedin.com/Ophelia,Ophelia,JOSEPH,128,55,175,,9
Avaya Inc.,70-610-7402,5,91538 Del Sol Trail,Bakersfield,Michigan,MI,United States,1514479188,Accommodation & Food Services,36047029,g.co,Vice President - Product Development,Female,www.linkedin.com/Kay,Kay,FORD,264,69,127,,11
Avery Dennison Corporation,70-610-7403,5,91538 Del Sol Trail,Bakersfield,Georgia,GA,United States,8783323903,WHOLESALE & RETAIL TRADE,36047030,g.co,General Manager - Circle Head Mumba,Female,www.linkedin.com/Dorette,Dorette,HUGHES,456,26,91,,18
Avista Corporation,70-610-7404,5,91538 Del Sol Trail,Bakersfield,Utah,UT,United States,6244281439,Business Management and Scientific Services,36047031,g.co,Deputy General Manager - Manufacturing,Female,www.linkedin.com/Clementine,Clementine,HOWARD,154,51,48,,15
"Avnet, Inc.",70-610-7405,5,91538 Del Sol Trail,Bakersfield,California,CA,United States,6238692949,Personal & Other Services,36047032,g.co,Manager - TIM,Female,www.linkedin.com/Kellyann,Kellyann,MANN,199,29,97,,11
"Avon Products, Inc.",70-610-7406,5,91538 Del Sol Trail,Bakersfield,Ohio,OH,United States,3219391434,Telecommunications,36047033,g.co,Vice President - Projects,Male,www.linkedin.com/Donal,Donal,BRIEN,258,25,116,,6
Baker Hughes Incorporated,70-610-7407,5,91538 Del Sol Trail,Bakersfield,South Carolina,SC,United States,4423846705,Education Services,36047034,g.co,Executive Vice President & Chief Financial Officer,Female,www.linkedin.com/Cass,Cass,SANDERS,149,21,69,,9
Ball Corporation,70-610-7408,5,91538 Del Sol Trail,Bakersfield,Idaho,ID,United States,3093555485,Banking,36047035,g.co,General Manager - Safety & Environment,Male,www.linkedin.com/Osbourne,Osbourne,ATKINSON,733,36,67,,18
Bank of America Corporation,70-610-7409,5,91538 Del Sol Trail,Bakersfield,North Dakota,ND,United States,8615379614,Diversified,36047036,g.co,Director - Purchase,Female,www.linkedin.com/Beitris,Beitris,SHAW,171,70,185,,7
"The Bank of New York Company, Inc.",70-610-7410,5,91538 Del Sol Trail,Bakersfield,New Jersey,NJ,United States,3005598943,MINING,36047037,g.co,Senior Vice President - Finance,Male,www.linkedin.com/Vachel,Vachel,HALL,182,21,145,,13
Bank One Corporation,70-610-7411,5,91538 Del Sol Trail,Bakersfield,South Carolina,SC,United States,2327707595,"Arts, Entertainment & Recreation",36047038,g.co,Assistant Engineer - System,Female,www.linkedin.com/Pennie,Pennie,SMITH,983,59,97,,19
"Banknorth Group, Inc.",70-610-7412,5,91538 Del Sol Trail,Bakersfield,California,CA,United States,1306431653,Utilities & Waste Management,36047039,g.co,Head - Ims,Female,www.linkedin.com/Jenna,Jenna,RYAN,866,35,52,,18
Banta Corporation,70-610-7413,5,91538 Del Sol Trail,Bakersfield,Ohio,OH,United States,8147047639,"Arts, Entertainment & Recreation",36047040,g.co,Operations Director & Chief Technical Officer,Male,www.linkedin.com/Ryan,Ryan,HUGHES,669,27,155,,6
"Barnes & Noble, Inc.",70-610-7414,5,91538 Del Sol Trail,Bakersfield,Florida,FL,United States,5911793142,Information & Media,36047041,g.co,COO & Head Research & Product Development,Female,www.linkedin.com/Nataline,Nataline,HAWKINS,809,39,182,,6
